학교ID,학교명,gu,case_type,priority_score,child_pop_quartile,redev_total,outlier_type,rule_based_case_type,ml_case_type,ml_prob_case1,ml_prob_case2,ml_prob_case3,ml_prob_case4,mismatch_flag,mismatch_type
B000003083,인천도림초등학교,남동구,4.0,1.0,Q1,0,normal,4,1,0.5084,0.1689,0.1611,0.1616,1,rule_case_vs_ml_case
B000003084,인천은봉초등학교,남동구,4.0,1.0,Q3,0,normal,4,4,0.0844,0.1292,0.382,0.4044,0,match
B000003085,인천장도초등학교,남동구,2.0,3.0,Q2,0,normal,2,4,0.2639,0.2042,0.2037,0.3281,1,rule_case_vs_ml_case
B000003086,인천동방초등학교,남동구,2.0,3.0,Q3,0,normal,2,4,0.1015,0.1643,0.3478,0.3864,1,rule_case_vs_ml_case
B000003087,인천원동초등학교,남동구,2.0,3.0,Q2,0,normal,2,4,0.1631,0.2369,0.2608,0.3392,1,rule_case_vs_ml_case
B000003088,인천사리울초등학교,남동구,4.0,1.0,Q2,0,normal,4,4,0.1631,0.2369,0.2608,0.3392,0,match
B000003089,인천고잔초등학교,남동구,4.0,1.0,Q3,0,normal,4,4,0.1033,0.1422,0.2895,0.465,0,match
B000003090,인천약산초등학교,남동구,4.0,1.0,Q3,1,normal,4,2,0.0462,0.4367,0.3449,0.1722,1,rule_case_vs_ml_case
B000003091,인천주원초등학교,남동구,2.0,3.0,Q2,1,normal,2,1,0.4197,0.339,0.1391,0.1022,1,rule_case_vs_ml_case
B000003092,인천송천초등학교,남동구,4.0,1.0,Q3,0,normal,4,4,0.0121,0.1613,0.3538,0.4728,0,match
B000003093,인천석천초등학교,남동구,2.0,3.0,Q1,1,normal,2,2,0.2963,0.3125,0.1758,0.2154,0,match
B000003094,인천신월초등학교,남동구,3.0,2.0,Q3,1,normal,3,2,0.135,0.4057,0.173,0.2863,1,rule_case_vs_ml_case
B000003095,인천구월초등학교,남동구,3.0,2.0,Q4,0,normal,3,2,0.1317,0.371,0.1882,0.3091,1,rule_case_vs_ml_case
B000003096,인천소래초등학교,남동구,3.0,2.0,Q3,0,normal,3,4,0.1015,0.1643,0.3478,0.3864,1,rule_case_vs_ml_case
B000003097,인천논현초등학교,남동구,4.0,1.0,Q3,0,normal,4,4,0.1015,0.1643,0.3478,0.3864,0,match
B000003098,인천논곡초등학교,남동구,4.0,1.0,Q1,0,normal,4,1,0.556,0.1177,0.1631,0.1633,1,rule_case_vs_ml_case
B000003099,인천새말초등학교,남동구,3.0,2.0,Q4,0,normal,3,2,0.1338,0.3596,0.256,0.2507,1,rule_case_vs_ml_case
B000003100,인천조동초등학교,남동구,4.0,1.0,Q4,0,normal,4,2,0.1338,0.3596,0.256,0.2507,1,rule_case_vs_ml_case
B000003101,인천인동초등학교,남동구,2.0,3.0,Q4,0,normal,2,4,0.1357,0.212,0.3187,0.3337,1,rule_case_vs_ml_case
B000003102,인천장수초등학교,남동구,2.0,3.0,Q1,0,normal,2,1,0.5033,0.1717,0.1314,0.1936,1,rule_case_vs_ml_case
B000003103,인천담방초등학교,남동구,3.0,2.0,Q2,0,normal,3,4,0.2639,0.2042,0.2037,0.3281,1,rule_case_vs_ml_case
B000003104,인천남동초등학교,남동구,3.0,2.0,Q3,0,normal,3,4,0.1033,0.1422,0.2895,0.465,1,rule_case_vs_ml_case
B000003105,인천서창초등학교,남동구,3.0,2.0,Q4,0,normal,3,2,0.0269,0.3832,0.2524,0.3375,1,rule_case_vs_ml_case
B000003106,경인교육대학교부설초등학교,계양구,4.0,1.0,Q2,2,normal,4,1,0.5399,0.2751,0.1556,0.0294,1,rule_case_vs_ml_case
B000003107,인천효성동초등학교,계양구,2.0,3.0,Q3,1,normal,2,2,0.11,0.4176,0.2624,0.21,0,match
B000003108,인천효성남초등학교,계양구,3.0,2.0,Q4,4,normal,3,3,0.1225,0.3223,0.5009,0.0542,0,match
B000003109,인천효성초등학교,계양구,2.0,3.0,Q2,1,normal,2,1,0.4197,0.339,0.1391,0.1022,1,rule_case_vs_ml_case
B000003110,인천해서초등학교,계양구,2.0,3.0,Q2,0,normal,2,4,0.1705,0.1917,0.2823,0.3556,1,rule_case_vs_ml_case
B000003111,인천안남초등학교,계양구,2.0,3.0,Q4,0,normal,2,4,0.1357,0.212,0.3187,0.3337,1,rule_case_vs_ml_case
B000003112,인천성지초등학교,계양구,3.0,2.0,Q3,0,normal,3,4,0.0121,0.1613,0.3538,0.4728,1,rule_case_vs_ml_case
B000003113,인천화전초등학교,계양구,2.0,3.0,Q4,2,normal,2,3,0.2703,0.3015,0.3863,0.042,1,rule_case_vs_ml_case
B000003114,인천서운초등학교,계양구,3.0,2.0,Q2,0,normal,3,4,0.1705,0.1917,0.2823,0.3556,1,rule_case_vs_ml_case
B000003115,인천신대초등학교,계양구,4.0,1.0,Q2,0,normal,4,4,0.2603,0.2594,0.1831,0.2973,0,match
B000003116,인천길주초등학교,계양구,3.0,2.0,Q2,0,normal,3,4,0.1631,0.2369,0.2608,0.3392,1,rule_case_vs_ml_case
B000003117,인천병방초등학교,계양구,2.0,3.0,Q3,0,normal,2,4,0.1033,0.1422,0.2895,0.465,1,rule_case_vs_ml_case
B000003118,인천양촌초등학교,계양구,2.0,3.0,Q2,0,normal,2,4,0.2603,0.2594,0.1831,0.2973,1,rule_case_vs_ml_case
B000003119,인천소양초등학교,계양구,2.0,3.0,Q1,1,normal,2,1,0.334,0.1817,0.242,0.2424,1,rule_case_vs_ml_case
B000003120,인천당산초등학교,계양구,3.0,2.0,Q1,0,normal,3,1,0.5084,0.1689,0.1611,0.1616,1,rule_case_vs_ml_case
B000003121,인천귤현초등학교,계양구,3.0,2.0,Q2,0,normal,3,4,0.2639,0.2042,0.2037,0.3281,1,rule_case_vs_ml_case
B000003122,인천계양초등학교,계양구,3.0,2.0,Q2,0,normal,3,4,0.2603,0.2594,0.1831,0.2973,1,rule_case_vs_ml_case
B000003123,인천계산초등학교,계양구,3.0,2.0,Q2,2,normal,3,1,0.5399,0.2751,0.1556,0.0294,1,rule_case_vs_ml_case
B000003124,인천안산초등학교,계양구,2.0,3.0,Q3,1,normal,2,2,0.0563,0.4368,0.1505,0.3564,0,match
B000003125,인천부평초등학교,계양구,2.0,3.0,Q4,1,normal,2,1,0.4067,0.3108,0.1711,0.1114,1,rule_case_vs_ml_case
B000003126,인천부현초등학교,계양구,2.0,3.0,Q4,0,normal,2,2,0.1374,0.3385,0.2822,0.2419,0,match
B000003127,인천부현동초등학교,계양구,3.0,2.0,Q3,0,normal,3,4,0.1033,0.1422,0.2895,0.465,1,rule_case_vs_ml_case
B000003128,인천작전초등학교,계양구,3.0,2.0,Q3,0,normal,3,4,0.0121,0.1613,0.3538,0.4728,1,rule_case_vs_ml_case
B000003129,인천작동초등학교,계양구,2.0,3.0,Q4,2,normal,2,1,0.3746,0.2561,0.3393,0.03,1,rule_case_vs_ml_case
B000003130,인천명현초등학교,계양구,2.0,3.0,Q4,3,normal,2,3,0.2628,0.2797,0.4054,0.0522,1,rule_case_vs_ml_case
B000003131,인천효성서초등학교,계양구,2.0,3.0,Q2,1,normal,2,2,0.2574,0.4343,0.1538,0.1545,0,match
B000003133,인천해원초등학교,서구,3.0,2.0,Q4,0,normal,3,2,0.0269,0.3832,0.2524,0.3375,1,rule_case_vs_ml_case
B000003134,인천경명초등학교,서구,2.0,3.0,Q2,0,normal,2,4,0.1695,0.2366,0.2847,0.3091,1,rule_case_vs_ml_case
B000003135,인천공촌초등학교,서구,4.0,1.0,Q2,0,normal,4,4,0.2639,0.2042,0.2037,0.3281,0,match
B000003137,인천간재울초등학교,서구,3.0,2.0,Q2,0,normal,3,4,0.2603,0.2594,0.1831,0.2973,1,rule_case_vs_ml_case
B000003138,인천경서초등학교,서구,3.0,2.0,Q1,0,normal,3,1,0.4974,0.1784,0.1233,0.2009,1,rule_case_vs_ml_case
B000003139,인천청라초등학교,서구,4.0,1.0,Q4,0,normal,4,2,0.1317,0.371,0.1882,0.3091,1,rule_case_vs_ml_case
B000003140,인천초은초등학교,서구,3.0,2.0,Q3,0,normal,3,4,0.1033,0.1422,0.2895,0.465,1,rule_case_vs_ml_case
B000003141,인천양지초등학교,서구,4.0,1.0,Q1,0,normal,4,1,0.5084,0.1689,0.1611,0.1616,1,rule_case_vs_ml_case
B000003142,인천심곡초등학교,서구,4.0,1.0,Q2,0,normal,4,4,0.2603,0.2594,0.1831,0.2973,0,match
B000003143,인천신석초등학교,서구,2.0,3.0,Q2,1,normal,2,2,0.0594,0.6268,0.1497,0.1641,0,match
B000003144,인천석남초등학교,서구,1.0,4.0,Q2,5,normal,1,3,0.1667,0.3465,0.409,0.0778,1,rule_case_vs_ml_case
B000003145,인천천마초등학교,서구,1.0,4.0,Q1,0,normal,1,1,0.4543,0.1975,0.1349,0.2133,0,match
B000003146,인천봉수초등학교,서구,2.0,3.0,Q4,0,normal,2,2,0.0269,0.3832,0.2524,0.3375,0,match
B000003147,인천신현북초등학교,서구,2.0,3.0,Q4,0,normal,2,4,0.1357,0.212,0.3187,0.3337,1,rule_case_vs_ml_case
B000003148,인천가림초등학교,서구,3.0,2.0,Q3,3,normal,3,3,0.2238,0.3276,0.3898,0.0588,0,match
B000003149,인천봉화초등학교,서구,1.0,4.0,Q2,0,normal,1,4,0.1695,0.2366,0.2847,0.3091,1,rule_case_vs_ml_case
B000003150,인천건지초등학교,서구,3.0,2.0,Q2,3,normal,3,1,0.5911,0.1443,0.198,0.0666,1,rule_case_vs_ml_case
B000003151,인천능내초등학교,서구,4.0,1.0,Q2,0,normal,4,4,0.2603,0.2594,0.1831,0.2973,0,match
B000003152,인천검단초등학교,서구,2.0,3.0,Q2,0,normal,2,4,0.2639,0.2042,0.2037,0.3281,1,rule_case_vs_ml_case
B000003153,인천완정초등학교,서구,4.0,1.0,Q3,0,normal,4,4,0.1033,0.1422,0.2895,0.465,0,match
B000003154,인천불로초등학교,서구,2.0,3.0,Q2,0,normal,2,4,0.1705,0.1917,0.2823,0.3556,1,rule_case_vs_ml_case
B000003155,인천목향초등학교,서구,2.0,3.0,Q1,0,normal,2,1,0.556,0.1177,0.1631,0.1633,1,rule_case_vs_ml_case
B000003156,인천왕길초등학교,서구,3.0,2.0,Q3,0,normal,3,4,0.1033,0.1422,0.2895,0.465,1,rule_case_vs_ml_case
B000003157,인천단봉초등학교,서구,3.0,2.0,Q1,0,normal,3,1,0.5033,0.1717,0.1314,0.1936,1,rule_case_vs_ml_case
B000003158,인천원당초등학교,서구,3.0,2.0,Q1,0,normal,3,1,0.5033,0.1717,0.1314,0.1936,1,rule_case_vs_ml_case
B000003159,인천발산초등학교,서구,4.0,1.0,Q3,0,normal,4,4,0.1015,0.1643,0.3478,0.3864,0,match
B000003160,인천창신초등학교,서구,2.0,3.0,Q2,0,normal,2,4,0.2603,0.2594,0.1831,0.2973,1,rule_case_vs_ml_case
B000003161,인천금곡초등학교,서구,3.0,2.0,Q2,0,normal,3,4,0.2603,0.2594,0.1831,0.2973,1,rule_case_vs_ml_case
B000003162,인천가석초등학교,서구,1.0,4.0,Q1,0,normal,1,1,0.5033,0.1717,0.1314,0.1936,0,match
B000003163,인천가좌초등학교,서구,3.0,2.0,Q3,3,normal,3,3,0.3137,0.2916,0.329,0.0657,0,match
B000003164,인천가정초등학교,서구,1.0,4.0,Q1,0,normal,1,1,0.5084,0.1689,0.1611,0.1616,0,match
B000003165,인천당하초등학교,서구,4.0,1.0,Q3,0,normal,4,4,0.1018,0.1889,0.2767,0.4326,0,match
B000003166,인천마전초등학교,서구,2.0,3.0,Q2,0,normal,2,4,0.1705,0.1917,0.2823,0.3556,1,rule_case_vs_ml_case
B000003167,인천석남서초등학교,서구,2.0,3.0,Q3,2,normal,2,3,0.0234,0.2877,0.6415,0.0474,1,rule_case_vs_ml_case
B000003168,인천가현초등학교,서구,2.0,3.0,Q4,0,normal,2,2,0.1338,0.3596,0.256,0.2507,0,match
B000003169,인천신현초등학교,서구,2.0,3.0,Q4,3,normal,2,3,0.3115,0.2512,0.3991,0.0381,1,rule_case_vs_ml_case
B000003170,인천서곶초등학교,서구,4.0,1.0,Q1,0,normal,4,1,0.5033,0.1717,0.1314,0.1936,1,rule_case_vs_ml_case
B000003171,인천검암초등학교,서구,3.0,2.0,Q2,0,normal,3,4,0.2603,0.2594,0.1831,0.2973,1,rule_case_vs_ml_case
B000003172,인천은지초등학교,서구,2.0,3.0,Q2,0,normal,2,4,0.1695,0.2366,0.2847,0.3091,1,rule_case_vs_ml_case
B000022832,인천한빛초등학교,남동구,4.0,1.0,Q3,0,normal,4,4,0.0121,0.1613,0.3538,0.4728,0,match
B000022834,인천청람초등학교,서구,4.0,1.0,Q4,0,normal,4,2,0.1374,0.3385,0.2822,0.2419,1,rule_case_vs_ml_case
B000022839,인천청일초등학교,서구,2.0,3.0,Q4,0,normal,2,2,0.1338,0.3596,0.256,0.2507,0,match
B000024924,인천하늘초등학교,중구,4.0,1.0,Q3,0,normal,4,4,0.1018,0.1889,0.2767,0.4326,0,match
B000025189,인천송명초등학교,연수구,2.0,3.0,Q1,0,normal,2,1,0.5033,0.1717,0.1314,0.1936,1,rule_case_vs_ml_case
B000025193,인천만월초등학교,남동구,4.0,1.0,Q3,0,normal,4,4,0.1015,0.1643,0.3478,0.3864,0,match
B000025196,인천장서초등학교,남동구,4.0,1.0,Q2,0,normal,4,4,0.1705,0.1917,0.2823,0.3556,0,match
B000025202,인천장아초등학교,남동구,4.0,1.0,Q2,0,normal,4,4,0.1695,0.2366,0.2847,0.3091,0,match
B000025206,인천새봄초등학교,연수구,2.0,3.0,Q4,0,normal,2,2,0.1338,0.3596,0.256,0.2507,0,match
B000025210,인천연송초등학교,연수구,2.0,3.0,Q2,0,normal,2,4,0.1705,0.1917,0.2823,0.3556,1,rule_case_vs_ml_case
B000025222,인천현송초등학교,연수구,2.0,3.0,Q1,0,normal,2,1,0.5084,0.1689,0.1611,0.1616,1,rule_case_vs_ml_case
B000025225,인천송빛초등학교,연수구,1.0,4.0,Q1,0,normal,1,1,0.5033,0.1717,0.1314,0.1936,0,match
B000025226,인천송일초등학교,연수구,4.0,1.0,Q2,0,normal,4,4,0.2639,0.2042,0.2037,0.3281,0,match
B000025228,인천예송초등학교,연수구,2.0,3.0,Q2,0,normal,2,4,0.2603,0.2594,0.1831,0.2973,1,rule_case_vs_ml_case
B000025236,인천첨단초등학교,연수구,2.0,3.0,Q2,0,normal,2,4,0.1705,0.1917,0.2823,0.3556,1,rule_case_vs_ml_case
B000025246,인천미송초등학교,연수구,2.0,3.0,Q3,0,normal,2,4,0.0844,0.1292,0.382,0.4044,1,rule_case_vs_ml_case
B000025248,인천은송초등학교,연수구,1.0,4.0,Q3,0,normal,1,4,0.0121,0.1613,0.3538,0.4728,1,rule_case_vs_ml_case
B000025256,인천송원초등학교,연수구,4.0,1.0,Q2,0,normal,4,4,0.2603,0.2594,0.1831,0.2973,0,match
B000025512,인천용학초등학교,미추홀구,2.0,3.0,Q1,0,normal,2,1,0.5033,0.1717,0.1314,0.1936,1,rule_case_vs_ml_case
B000025677,인천주안초등학교,미추홀구,3.0,2.0,Q4,0,normal,3,2,0.1338,0.3596,0.256,0.2507,1,rule_case_vs_ml_case
B000025690,인천별빛초등학교,중구,4.0,1.0,Q3,0,normal,4,4,0.0844,0.1292,0.382,0.4044,0,match
B000025751,인천경연초등학교,서구,3.0,2.0,Q3,0,normal,3,4,0.1018,0.1889,0.2767,0.4326,1,rule_case_vs_ml_case
B000025752,인천도담초등학교,서구,4.0,1.0,Q4,0,normal,4,2,0.0269,0.3832,0.2524,0.3375,1,rule_case_vs_ml_case
B000025756,인천청호초등학교,서구,4.0,1.0,Q4,0,normal,4,4,0.1357,0.212,0.3187,0.3337,0,match
B000026155,인천한들초등학교,서구,2.0,3.0,Q1,0,normal,2,1,0.556,0.1177,0.1631,0.1633,1,rule_case_vs_ml_case
B000026332,인천백석초등학교,서구,4.0,1.0,Q2,0,normal,4,4,0.1695,0.2366,0.2847,0.3091,0,match
B000026333,인천가원초등학교,서구,2.0,3.0,Q4,0,normal,2,4,0.1357,0.212,0.3187,0.3337,1,rule_case_vs_ml_case
B000026466,인천아라초등학교,서구,2.0,3.0,Q2,0,normal,2,4,0.1631,0.2369,0.2608,0.3392,1,rule_case_vs_ml_case
B000026467,인천해든초등학교,서구,3.0,2.0,Q3,0,normal,3,4,0.1018,0.1889,0.2767,0.4326,1,rule_case_vs_ml_case
B000026468,인천아람초등학교,서구,2.0,3.0,Q2,0,normal,2,4,0.1705,0.1917,0.2823,0.3556,1,rule_case_vs_ml_case
B000026469,인천한별초등학교,서구,4.0,1.0,Q4,0,normal,4,2,0.1338,0.3596,0.256,0.2507,1,rule_case_vs_ml_case
B000026470,인천이음초등학교,서구,2.0,3.0,Q3,0,normal,2,4,0.1033,0.1422,0.2895,0.465,1,rule_case_vs_ml_case
B000026471,인천신검단초등학교,서구,2.0,3.0,Q1,0,normal,2,1,0.5084,0.1689,0.1611,0.1616,1,rule_case_vs_ml_case
B000026504,인천송담초등학교,연수구,1.0,4.0,Q2,0,normal,1,4,0.1705,0.1917,0.2823,0.3556,1,rule_case_vs_ml_case
B000027505,인천중산초등학교,중구,4.0,1.0,Q3,0,normal,4,4,0.1018,0.1889,0.2767,0.4326,0,match
