학교ID,학교명,gu,case_type,is_separate_bundle_tag,green_fix_protected,green_fix_manual_ratio,osm_walk_area_m2,straight_buffer_area_m2,osm_walk_area_ratio_to_buffer,connected_residential_count,apt_added_area_m2,apt_gap_ratio,adjusted_walk_area_m2,adjusted_walk_area_ratio_to_buffer,current_walk_green_area_m2,current_walk_green_ratio,apt_added_green_area_m2,apt_added_park_count,adjusted_walk_green_area_m2,adjusted_walk_park_count,apt_adjusted_walk_green_ratio,apt_adjusted_green_delta_pp,radius_green_ratio,radius_to_walk_loss_pp,radius_to_adjusted_loss_pp,apt_permeability_flag,large_apt_count_500m,large_apt_households_500m,apt_adjustment_candidate
B000003024,인천갈월초등학교,부평구,4.0,0,0,0,306710.9525,784137.1226,0.391145,5,90120.9262,0.114746,396831.8787,0.506075,46524.5768,15.168867,611.1118,2,47135.6886,8,11.878,-3.290868,11.544009,-3.624858,-0.33399,1,5,3413,1
B000003057,인천청량초등학교,연수구,3.0,0,0,0,257690.7492,784137.1226,0.32863,7,207851.9688,0.264645,465542.718,0.593701,8333.5036,3.233916,901.104,2,9234.6075,5,1.983622,-1.250295,7.208126,3.974209,5.224504,1,2,1986,1
B000025246,인천미송초등학교,연수구,4.0,0,1,0,78369.4982,784137.1226,0.099944,0,0.0,0.0,78369.4982,0.099944,5271.3676,6.7263,0.0,0,5271.3676,2,6.7263,0.0,8.59296,1.86666,1.86666,0,4,9568,0
B000026469,인천한별초등학교,서구,4.0,0,0,0,94276.2401,784137.1226,0.120229,6,289327.1783,0.368383,383603.4184,0.489205,12808.2171,13.585838,22681.411,3,35489.6281,3,9.251645,-4.334192,16.052874,2.467036,6.801228,1,5,6280,1
B000026466,인천아라초등학교,서구,4.0,0,0,0,56199.4991,784137.1226,0.07167,1,36346.5548,0.046278,92546.0539,0.118023,9268.4729,16.492092,0.0,0,9268.4729,1,10.014984,-6.477107,7.177003,-9.315089,-2.837981,1,4,3418,1
B000003178,갑룡초등학교,강화군,,1,0,0,22567.6997,784137.1226,0.02878,0,0.0,0.0,22567.6997,0.02878,0.0,0.0,0.0,0,0.0,0,0.0,0.0,2.365059,2.365059,2.365059,0,0,0,0
B000003098,인천논곡초등학교,남동구,4.0,0,0,0,176226.6019,784137.1226,0.22474,3,112634.9221,0.143411,288861.5239,0.368381,50646.577,28.739462,26380.3705,4,77026.9475,5,26.6657,-2.073762,24.918933,-3.820529,-1.746767,1,3,3314,1
B000002959,인천영종초등학교,중구,4.0,0,1,0,129892.6773,784137.1226,0.16565,0,0.0,0.0,129892.6773,0.16565,9352.013,7.1998,0.0,0,9352.013,15,7.1998,0.0,7.120405,-0.079395,-0.079395,0,6,7358,0
B000025228,인천예송초등학교,연수구,2.0,0,0,0,98619.4039,784137.1226,0.125768,4,132910.7432,0.169227,231530.1472,0.295267,326.0872,0.330652,1171.8039,1,1497.8911,1,0.646953,0.316301,2.533144,2.202491,1.886191,1,5,3951,1
B000003150,인천건지초등학교,서구,3.0,0,0,0,216674.2525,784137.1226,0.276322,3,17566.0749,0.022366,234240.3274,0.298724,5574.0222,2.572536,0.0,0,5574.0222,1,2.379617,-0.192919,1.723741,-0.848795,-0.655876,1,0,0,0
B000025202,인천장아초등학교,남동구,4.0,0,0,0,79893.7003,784137.1226,0.101887,2,70076.1265,0.089224,149969.8267,0.191255,62771.2283,78.568433,22612.8682,2,85384.0965,3,56.934184,-21.634249,43.066108,-35.502325,-13.868075,1,1,835,1
B000003013,인천영선초등학교,부평구,3.0,0,0,0,152715.3261,784137.1226,0.194756,5,219146.3001,0.279026,371861.6262,0.47423,2691.8956,1.762689,2305.8346,2,4997.7302,4,1.343976,-0.418713,5.829806,4.067117,4.48583,1,4,6175,1
B000003127,인천부현동초등학교,계양구,4.0,0,0,0,249543.0272,784137.1226,0.318239,8,84815.1203,0.10799,334358.1475,0.426403,17912.2952,7.178039,2111.9184,2,20024.2135,4,5.988852,-1.189187,5.547013,-1.631026,-0.441839,1,8,6203,1
B000003012,인천후정초등학교,부평구,3.0,0,0,0,108151.2786,784137.1226,0.137924,5,53621.6692,0.068273,161772.9479,0.206307,1889.8814,1.747442,5166.2006,6,7056.082,6,4.361719,2.614277,5.80962,4.062178,1.447901,1,4,3206,1
B000003007,인천부곡초등학교,부평구,2.0,0,0,0,64437.9398,784137.1226,0.082177,8,205370.321,0.261486,269808.2608,0.344083,557.5665,0.865277,689.9527,1,1247.5192,1,0.462372,-0.402904,1.909335,1.044059,1.446963,1,10,10826,1
B000027505,인천중산초등학교,중구,4.0,0,0,0,153347.8826,784137.1226,0.195563,4,204393.8486,0.260242,357741.7312,0.456223,147084.8592,95.915807,92657.5012,4,239742.3604,7,67.015486,-28.900321,55.900405,-40.015402,-11.115081,1,4,5047,1
B000024924,인천하늘초등학교,중구,4.0,0,0,0,101508.0826,784137.1226,0.129452,4,165747.0524,0.211036,267255.135,0.340827,52342.012,51.564379,4446.4492,2,56788.4612,4,21.248782,-30.315596,30.675713,-20.888666,9.42693,1,2,1800,1
B000003137,인천간재울초등학교,서구,3.0,0,0,0,265502.9402,784137.1226,0.338592,2,14208.3343,0.018091,279711.2745,0.356712,5614.6099,2.114707,0.0,0,5614.6099,4,2.007288,-0.10742,2.30872,0.194013,0.301433,1,0,0,0
B000003148,인천가림초등학교,서구,3.0,0,0,0,290787.756,784137.1226,0.370838,9,90009.5852,0.114604,380797.3412,0.485626,7790.8927,2.679237,1468.6868,1,9259.5795,3,2.431629,-0.247608,3.267989,0.588752,0.836359,1,5,3773,1
B000003189,해명초등학교,강화군,,1,0,0,38138.0828,784137.1226,0.048637,0,0.0,0.0,38138.0828,0.048637,7220.6154,18.932822,0.0,0,7220.6154,1,18.932822,0.0,0.0,-18.932822,-18.932822,0,0,0,0
B000003113,인천화전초등학교,계양구,2.0,0,0,0,360977.3387,784137.1226,0.46035,18,94810.0056,0.120716,455787.3443,0.58126,300.2415,0.083175,0.0,0,300.2415,1,0.065873,-0.017301,0.039936,-0.043239,-0.025937,1,4,2895,1
B000003131,인천효성서초등학교,계양구,4.0,0,0,0,204402.6397,784137.1226,0.260672,3,31814.7652,0.040508,236217.4049,0.301245,10985.4365,5.37441,21858.0655,1,32843.502,1,13.90393,8.529519,16.691048,11.316637,2.787118,1,1,1178,1
B000026155,인천한들초등학교,서구,2.0,0,0,0,148238.8601,784137.1226,0.189047,1,114242.3282,0.145458,262481.1883,0.334739,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,1,2426,1
B000025248,인천은송초등학교,연수구,1.0,0,0,0,121361.2339,784137.1226,0.15477,3,165078.2058,0.210184,286439.4397,0.365293,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,1,2100,1
B000003095,인천구월초등학교,남동구,4.0,0,0,0,340052.7283,784137.1226,0.433665,3,151679.8832,0.193125,491732.6115,0.6271,17720.3987,5.211074,9592.4517,1,27312.8504,3,5.554411,0.343337,6.511519,1.300445,0.957108,1,2,4020,1
B000003140,인천초은초등학교,서구,3.0,0,0,0,202913.2435,784137.1226,0.258773,6,152643.2219,0.194351,355556.4653,0.453437,3576.6305,1.76264,0.0,0,3576.6305,1,1.005925,-0.756715,1.139487,-0.623154,0.133562,1,4,3404,1
B000025189,인천송명초등학교,연수구,4.0,0,1,0,70087.9522,784137.1226,0.089382,0,0.0,0.0,70087.9522,0.089382,19519.9853,27.8507,0.0,0,19519.9853,8,27.8507,0.0,29.182409,1.331709,1.331709,0,4,5778,0
B000025677,인천주안초등학교,미추홀구,3.0,0,0,0,286073.2743,784137.1226,0.364826,2,79204.5302,0.100846,365277.8045,0.465834,5149.9191,1.80021,5570.3367,2,10720.2557,2,2.934823,1.134613,1.383412,-0.416798,-1.551411,1,1,2958,1
B000003164,인천가정초등학교,서구,1.0,0,0,0,122136.8894,784137.1226,0.15576,10,157586.5046,0.200645,279723.394,0.356728,0.0,0.0,0.0,0,0.0,0,0.0,0.0,3.71236,3.71236,3.71236,1,4,3587,1
B000003187,양사초등학교,강화군,,1,0,0,784137.1226,784137.1226,1.0,0,0.0,0.0,784137.1226,1.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
B000003133,인천해원초등학교,서구,3.0,0,0,0,311117.1298,784137.1226,0.396764,7,160533.5006,0.204398,471650.6305,0.60149,6142.1274,1.974217,0.0,0,6142.1274,2,1.302262,-0.671955,1.07778,-0.896437,-0.224482,1,5,3831,1
B000002968,인천서림초등학교,동구,1.0,0,0,0,387164.0644,784137.1226,0.493745,3,38091.2245,0.048499,425255.2889,0.542323,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,1,863,1
B000026333,인천가원초등학교,서구,2.0,0,0,0,213291.0384,784137.1226,0.272007,6,213378.1693,0.271682,426669.2078,0.544126,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,6,6239,1
B000003175,조산초등학교,강화군,,1,0,0,15500.1412,784137.1226,0.019767,0,0.0,0.0,15500.1412,0.019767,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
B000003074,인천간석초등학교,남동구,3.0,0,0,0,297890.9731,784137.1226,0.379897,8,263374.4702,0.335339,561265.4434,0.715775,3416.1086,1.146765,14.4434,1,3430.552,2,0.611217,-0.535547,0.712525,-0.43424,0.101308,1,3,5291,1
B000002993,연평초등학교,옹진군,,1,0,0,16688.2642,784137.1226,0.021282,0,0.0,0.0,16688.2642,0.021282,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
B000025236,인천첨단초등학교,연수구,4.0,0,1,0,68499.9116,784137.1226,0.087357,0,0.0,0.0,68499.9116,0.087357,13254.8699,19.3502,0.0,0,13254.8699,6,19.3502,0.0,15.892668,-3.457532,-3.457532,0,4,7113,0
B000026470,인천이음초등학교,서구,2.0,0,0,0,89369.2523,784137.1226,0.113971,6,345491.8247,0.439894,434861.077,0.554573,0.0,0.0,3208.1198,1,3208.1198,1,0.737734,0.737734,4.138323,4.138323,3.400589,1,8,9981,1
B000003124,인천안산초등학교,계양구,2.0,0,0,0,206721.803,784137.1226,0.26363,4,72026.9673,0.091708,278748.7702,0.355485,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.597988,0.597988,0.597988,1,2,2134,1
B000003185,하점초등학교,강화군,,1,0,0,15500.1412,784137.1226,0.019767,0,0.0,0.0,15500.1412,0.019767,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
B000003065,인천신정초등학교,연수구,2.0,0,0,0,197770.9361,784137.1226,0.252215,15,297480.8538,0.378764,495251.7899,0.631588,1324.2893,0.669608,2258.5082,3,3582.7975,3,0.723429,0.053822,2.253013,1.583406,1.529584,1,8,4682,1
B000002962,인천영종초등학교금산분교장,중구,1.0,0,0,0,67578.6647,784137.1226,0.086182,0,0.0,0.0,67578.6647,0.086182,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
B000003158,인천원당초등학교,서구,3.0,0,1,0,121480.0547,784137.1226,0.154922,0,0.0,0.0,121480.0547,0.154922,3148.6415,2.5919,0.0,0,3148.6415,1,2.5919,0.0,2.328957,-0.262943,-0.262943,0,2,2675,0
B000025512,인천용학초등학교,미추홀구,2.0,0,0,0,19482.1717,784137.1226,0.024845,0,0.0,0.0,19482.1717,0.024845,0.0,0.0,0.0,0,0.0,0,0.0,0.0,5.258843,5.258843,5.258843,0,1,821,0
B000003087,인천원동초등학교,남동구,3.0,0,0,0,110902.8095,784137.1226,0.141433,7,342621.1521,0.436239,453523.9616,0.578373,1321.5847,1.19166,20556.4616,6,21878.0463,6,4.824011,3.632351,7.411322,6.219662,2.587311,1,7,6990,1
B000025222,인천현송초등학교,연수구,2.0,0,0,0,98082.8074,784137.1226,0.125084,3,98497.9078,0.125411,196580.7152,0.250697,0.0,0.0,0.0,0,0.0,0,0.0,0.0,3.85895,3.85895,3.85895,1,2,1989,1
B000003016,인천부일초등학교,부평구,3.0,0,0,0,144231.5686,784137.1226,0.183937,4,130751.118,0.166477,274982.6867,0.350682,6761.3378,4.687835,14031.8659,7,20793.2037,8,7.561641,2.873806,7.703199,3.015364,0.141558,1,5,5520,1
B000003170,인천서곶초등학교,서구,4.0,0,0,0,104956.7041,784137.1226,0.13385,0,0.0,0.0,104956.7041,0.13385,17956.7908,17.10876,0.0,0,17956.7908,2,17.10876,0.0,21.158226,4.049466,4.049466,0,0,0,0
B000026504,인천송담초등학교,연수구,4.0,0,1,1,87899.2695,784137.1226,0.112097,0,0.0,0.0,87899.2695,0.112097,18224.721,20.733643,0.0,0,18224.721,1,20.733643,0.0,7.598309,-13.135335,-13.135335,0,1,2708,0
B000003176,화도초등학교,강화군,,1,0,0,38138.0828,784137.1226,0.048637,0,0.0,0.0,38138.0828,0.048637,7220.6154,18.932822,0.0,0,7220.6154,1,18.932822,0.0,0.0,-18.932822,-18.932822,0,0,0,0
B000003139,인천청라초등학교,서구,4.0,0,0,0,322154.6006,784137.1226,0.41084,4,98530.0161,0.125452,420684.6168,0.536494,53647.6926,16.652779,0.0,0,53647.6926,4,12.752473,-3.900306,19.414704,2.761925,6.662231,1,4,3078,1
B000025210,인천연송초등학교,연수구,2.0,0,0,0,118467.8202,784137.1226,0.15108,9,225604.3534,0.287248,344072.1736,0.438791,370.1877,0.31248,3081.1015,2,3451.2891,2,1.003071,0.690592,0.444918,0.132439,-0.558153,1,6,4051,1
B000003179,강화초등학교,강화군,,1,0,0,784137.1226,784137.1226,1.0,0,0.0,0.0,784137.1226,1.0,17893.4592,2.28193,0.0,0,17893.4592,2,2.28193,0.0,2.278266,-0.003664,-0.003664,0,0,0,0
B000003101,인천인동초등학교,남동구,2.0,0,0,0,272745.4177,784137.1226,0.347829,13,133709.7298,0.170245,406455.1475,0.518347,1938.3523,0.710682,797.6078,2,2735.9601,4,0.673127,-0.037555,1.480249,0.769567,0.807122,1,3,3452,1
B000002982,인천석암초등학교,미추홀구,1.0,0,0,0,236063.3927,784137.1226,0.301049,1,48646.236,0.061938,284709.6287,0.363087,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0
B000002956,인천운남초등학교,중구,4.0,0,0,0,185316.642,784137.1226,0.236332,1,55989.2976,0.071288,241305.9396,0.307734,9412.5206,5.079156,0.0,0,9412.5206,3,3.900658,-1.178497,6.384302,1.305146,2.483643,1,1,1022,1
B000003153,인천완정초등학교,서구,4.0,0,0,0,208485.2887,784137.1226,0.265879,8,103281.2967,0.131502,311766.5853,0.397592,11398.7924,5.467432,8040.5034,2,19439.2959,2,6.235208,0.767776,22.818356,17.350924,16.583148,1,3,2532,1
B000003160,인천창신초등학교,서구,3.0,0,0,0,199780.5298,784137.1226,0.254778,4,67094.0911,0.085427,266874.6209,0.340342,2857.4162,1.430278,1414.7692,1,4272.1853,2,1.600821,0.170544,2.445146,1.014868,0.844325,1,1,938,1
B000026332,인천백석초등학교,서구,4.0,0,0,0,171318.0784,784137.1226,0.21848,6,156680.269,0.199492,327998.3473,0.418292,13089.362,7.640386,6288.0736,2,19377.4356,4,5.907785,-1.732601,9.718103,2.077717,3.810318,1,2,1956,1
B000003186,명신초등학교,강화군,,1,0,0,15500.1412,784137.1226,0.019767,0,0.0,0.0,15500.1412,0.019767,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
B000003122,인천계양초등학교,계양구,3.0,0,0,0,250770.4576,784137.1226,0.319804,3,25972.2031,0.033069,276742.6607,0.352926,5240.838,2.089894,190.2208,1,5431.0588,4,1.962494,-0.1274,1.413188,-0.676707,-0.549307,1,1,1192,1
B000003194,서도초등학교,강화군,,1,0,0,784137.1226,784137.1226,1.0,0,0.0,0.0,784137.1226,1.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
B000003112,인천성지초등학교,계양구,3.0,0,0,0,215078.3249,784137.1226,0.274287,4,30329.7281,0.038617,245408.0531,0.312966,6752.8111,3.139699,2190.8029,2,8943.614,2,3.644385,0.504686,2.46492,-0.674779,-1.179465,1,2,1567,1
B000003120,인천당산초등학교,계양구,3.0,0,0,0,72289.5662,784137.1226,0.09219,2,22288.7759,0.028379,94578.3421,0.120615,1751.1424,2.4224,0.0,0,1751.1424,1,1.851526,-0.570874,2.611861,0.189461,0.760335,1,1,630,1
B000002967,인천서흥초등학교,동구,4.0,0,0,0,364131.6543,784137.1226,0.464372,5,68383.5292,0.087069,432515.1834,0.551581,19076.7545,5.238972,6337.1939,1,25413.9483,2,5.875851,0.636879,5.818964,0.579992,-0.056887,1,2,1075,1
B000003192,교동초등학교,강화군,,1,0,0,15500.1412,784137.1226,0.019767,0,0.0,0.0,15500.1412,0.019767,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
B000003134,인천경명초등학교,서구,2.0,0,0,0,81911.6595,784137.1226,0.104461,2,87196.0047,0.111021,169107.6642,0.215661,0.0,0.0,0.0,0,0.0,0,0.0,0.0,19.861496,19.861496,19.861496,1,3,2915,1
B000003184,삼성초등학교,강화군,,1,0,0,15500.1412,784137.1226,0.019767,0,0.0,0.0,15500.1412,0.019767,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
B000022839,인천청일초등학교,서구,4.0,0,0,0,222765.5922,784137.1226,0.28409,3,94160.6305,0.119889,316926.2227,0.404172,179433.2531,80.548011,65326.2941,1,244759.5471,1,77.229188,-3.318823,72.374996,-8.173015,-4.854192,1,2,2900,1
B000026471,인천신검단초등학교,서구,2.0,0,0,0,75751.661,784137.1226,0.096605,2,85813.4813,0.109261,161565.1423,0.206042,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,1,1425,1
B000003141,인천양지초등학교,서구,4.0,0,0,0,170110.7401,784137.1226,0.21694,2,9630.923,0.012262,179741.663,0.229222,20185.5995,11.866152,6.9637,1,20192.5632,4,11.234214,-0.631938,18.098799,6.232647,6.864585,1,2,1602,1
B000003190,삼산초등학교,강화군,,1,0,0,13513.9293,784137.1226,0.017234,0,0.0,0.0,13513.9293,0.017234,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
B000026467,인천해든초등학교,서구,3.0,0,0,0,109738.8654,784137.1226,0.139949,9,345168.8654,0.439483,454907.7308,0.580138,1905.4566,1.736355,24206.6793,4,26112.1359,5,5.740095,4.00374,11.830423,10.094068,6.090328,1,9,8444,1
B000003083,인천도림초등학교,남동구,4.0,0,0,0,87446.3053,784137.1226,0.111519,3,45297.4017,0.057674,132743.707,0.169286,6870.1282,7.856396,1451.118,1,8321.2462,4,6.268656,-1.58774,2.402813,-5.453583,-3.865843,1,2,1356,1
B000003177,대월초등학교,강화군,,1,0,0,22567.6997,784137.1226,0.02878,0,0.0,0.0,22567.6997,0.02878,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
B000002997,북포초등학교,옹진군,,1,0,0,16688.2642,784137.1226,0.021282,0,0.0,0.0,16688.2642,0.021282,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
B000003094,인천신월초등학교,남동구,3.0,0,0,0,281260.273,784137.1226,0.358688,0,0.0,0.0,281260.273,0.358688,13028.06,4.63203,0.0,0,13028.06,3,4.63203,-0.0,4.961711,0.329681,0.329681,0,0,0,0
B000003171,인천검암초등학교,서구,4.0,0,0,0,179603.9281,784137.1226,0.229047,2,58304.735,0.074236,237908.6631,0.303402,10210.6328,5.685083,1238.5197,1,11449.1525,3,4.812415,-0.872668,3.079216,-2.605867,-1.733199,1,2,1668,1
B000022834,인천청람초등학교,서구,4.0,0,0,0,295108.9114,784137.1226,0.376349,6,182686.3103,0.232603,477795.2216,0.609326,70480.1632,23.882763,0.0,0,70480.1632,3,14.751123,-9.13164,15.249442,-8.633322,0.498318,1,3,3815,1
B000003169,인천신현초등학교,서구,2.0,0,0,0,404750.8399,784137.1226,0.516174,1,12265.4972,0.015617,417016.3371,0.531816,792.2588,0.19574,0.0,0,792.2588,1,0.189983,-0.005757,0.256878,0.061138,0.066895,1,1,778,1
B000003085,인천장도초등학교,남동구,2.0,0,0,0,88576.0505,784137.1226,0.11296,3,54474.5413,0.069359,143050.5919,0.182431,692.3503,0.781645,1044.8559,1,1737.2062,1,1.2144,0.432755,3.568172,2.786527,2.353772,1,6,6689,1
B000003161,인천금곡초등학교,서구,3.0,0,0,0,189091.3695,784137.1226,0.241146,5,81715.3641,0.104043,270806.7336,0.345356,4667.8682,2.468578,348.9738,1,5016.842,3,1.852554,-0.616024,1.460204,-1.008374,-0.392351,1,2,1176,1
B000025256,인천송원초등학교,연수구,4.0,0,0,0,221337.8196,784137.1226,0.282269,4,101780.5159,0.129591,323118.3354,0.412069,45891.394,20.733643,15781.2332,1,61672.6272,2,19.0867,-1.646943,27.897777,7.164134,8.811077,1,2,1281,1
B000003004,인천남부초등학교이작분교장,옹진군,,1,0,0,9895.0532,784137.1226,0.012619,0,0.0,0.0,9895.0532,0.012619,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
B000003183,불은초등학교,강화군,,1,0,0,15500.1412,784137.1226,0.019767,0,0.0,0.0,15500.1412,0.019767,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
B000003082,인천만수초등학교,남동구,3.0,0,0,0,216405.1663,784137.1226,0.275979,7,114528.2727,0.145822,330933.439,0.422035,10473.152,4.839604,0.9503,1,10474.1024,6,3.165018,-1.674586,2.141905,-2.697698,-1.023113,1,5,3445,1
B000002980,인천관교초등학교,미추홀구,3.0,0,0,0,393519.4238,784137.1226,0.50185,5,76482.4391,0.09738,470001.8628,0.599387,6578.8696,1.671803,1383.8979,2,7962.7675,6,1.694199,0.022396,1.949597,0.277794,0.255398,1,0,0,1
B000003110,인천해서초등학교,계양구,2.0,0,0,0,197434.4469,784137.1226,0.251786,2,8793.2565,0.011196,206227.7034,0.263,1150.1642,0.582555,0.0,0,1150.1642,1,0.557716,-0.024839,0.188823,-0.393732,-0.368892,1,0,0,0
B000025196,인천장서초등학교,남동구,4.0,0,0,0,80326.8148,784137.1226,0.10244,6,282694.1035,0.359937,363020.9184,0.462956,5594.1531,6.964241,6770.0316,3,12364.1848,3,3.405915,-3.558326,9.355421,2.39118,5.949506,1,7,7142,1
B000003045,인천한길초등학교,부평구,3.0,0,0,0,365653.8104,784137.1226,0.466314,8,99902.2802,0.1272,465556.0906,0.593718,14176.6558,3.87707,4374.0932,6,18550.7491,10,3.984643,0.107573,7.892339,4.015268,3.907695,1,7,6166,1
